id,value,sort_order,created_at
13855,Motilal Oswal Finvest Ltd,113,2026-07-08 16:16:52.170555+00
13856,Motilal Oswal Home Finance Ltd,114,2026-07-08 16:16:52.170555+00
13857,Ms Fincap Ltd,115,2026-07-08 16:16:52.170555+00
13858,Ms The Hongkong And Shanghai Banking Corporation Ltd(Hsbc),116,2026-07-08 16:16:52.170555+00
13859,Muthoot Fincorp Ltd,117,2026-07-08 16:16:52.170555+00
13860,Muthoot Homefin (India) Ltd,118,2026-07-08 16:16:52.170555+00
13861,Muthoot Housing Finance Company Ltd,119,2026-07-08 16:16:52.170555+00
13862,Muthoot Microfin Ltd,120,2026-07-08 16:16:52.170555+00
13863,Namdev Finvest Pvt Ltd,121,2026-07-08 16:16:52.170555+00
13864,Natural City Gas,122,2026-07-08 16:16:52.170555+00
13865,Neogrowth Credit Pvt. Ltd,123,2026-07-08 16:16:52.170555+00
13866,Nido Home Finance Ltd,124,2026-07-08 16:16:52.170555+00
13867,Niwas Housing Finance Pvt. Ltd,125,2026-07-08 16:16:52.170555+00
13868,Omkara Assets Reconstruction Pvt Ltd,126,2026-07-08 16:16:52.170555+00
13869,Ovington Finance Pvt Ltd,127,2026-07-08 16:16:52.170555+00
13870,Oxyzo Financial Services Ltd,128,2026-07-08 16:16:52.170555+00
13871,Paisa Hai Finance Solution Pvt Ltd,129,2026-07-08 16:16:52.170555+00
13872,Paisabuddy Finance Pvt Ltd,130,2026-07-08 16:16:52.170555+00
13873,Pegasus Assets Reconstruction Pvt. Ltd,131,2026-07-08 16:16:52.170555+00
13874,PHF Finance Pvt Ltd,132,2026-07-08 16:16:52.170555+00
13875,PHF Leasing Ltd,133,2026-07-08 16:16:52.170555+00
13876,Phoenix Udyog Pvt Ltd,134,2026-07-08 16:16:52.170555+00
13877,Pink City Fincap Pvt Ltd,135,2026-07-08 16:16:52.170555+00
13878,Piramal Capital And Housing Finance Ltd,136,2026-07-08 16:16:52.170555+00
13879,Poonawalla Fincorp Ltd,137,2026-07-08 16:16:52.170555+00
13880,Property Crow Services Pvt Ltd,138,2026-07-08 16:16:52.170555+00
13881,Protium Finance Ltd,139,2026-07-08 16:16:52.170555+00
13882,Purple Finance Ltd,140,2026-07-08 16:16:52.170555+00
13883,R K Bansal Finance Pvt Ltd,141,2026-07-08 16:16:52.170555+00
13884,Radian Finserv Pvt. Ltd,142,2026-07-08 16:16:52.170555+00
13885,Ratnaafin Capital Pvt. Ltd,143,2026-07-08 16:16:52.170555+00
13886,RBL Bank Ltd,144,2026-07-08 16:16:52.170555+00
13887,Reliance Commercial Finance Ltd,145,2026-07-08 16:16:52.170555+00
13888,Religare Housing Development Finance Corporation Ltd,146,2026-07-08 16:16:52.170555+00
13889,Roha Housing Finance Pvt. Ltd,147,2026-07-08 16:16:52.170555+00
13890,Sahayya Finserve Pvt. Ltd,148,2026-07-08 16:16:52.170555+00
13891,Sai Corporation,149,2026-07-08 16:16:52.170555+00
13892,Sammaan Capital Ltd,150,2026-07-08 16:16:52.170555+00
13893,Sammaan Finserve Ltd,151,2026-07-08 16:16:52.170555+00
13894,SARVP Financial Services Pvt. Ltd,152,2026-07-08 16:16:52.170555+00
13895,Satin Housing Finance Ltd,153,2026-07-08 16:16:52.170555+00
13896,Satya Micro Housing Finance Pvt. Ltd,154,2026-07-08 16:16:52.170555+00
13897,Save Financial Services Pvt. Ltd,155,2026-07-08 16:16:52.170555+00
13898,Save Housing Finance Ltd,156,2026-07-08 16:16:52.170555+00
13899,SBFC Finance Ltd,157,2026-07-08 16:16:52.170555+00
13900,Seeds Fincap Pvt. Ltd,158,2026-07-08 16:16:52.170555+00
13901,Sewa Grih Rin Ltd,159,2026-07-08 16:16:52.170555+00
13902,Share India Fincap Pvt. Ltd,160,2026-07-08 16:16:52.170555+00
13903,Shivalik Small Finance Bank Ltd,161,2026-07-08 16:16:52.170555+00
13904,Shriram Finance Ltd,162,2026-07-08 16:16:52.170555+00
13905,Shriram Housing Finance Ltd,163,2026-07-08 16:16:52.170555+00
13906,Shubham Housing Development Finance Co. Ltd,164,2026-07-08 16:16:52.170555+00
13907,SI Creva Capital Services Pvt. Ltd,165,2026-07-08 16:16:52.170555+00
13908,Sindhuja Micro Credit Pvt Ltd,166,2026-07-08 16:16:52.170555+00
13909,Sk Finance Ltd,167,2026-07-08 16:16:52.170555+00
13910,Smfg India Credit Company Ltd,168,2026-07-08 16:16:52.170555+00
13911,SMFG India Home Finance Company Ltd,169,2026-07-08 16:16:52.170555+00
13912,Srg Housing Finance Ltd,170,2026-07-08 16:16:52.170555+00
13913,Star Housing Finance Ltd,171,2026-07-08 16:16:52.170555+00
13914,STFT Finance Pvt. Ltd,172,2026-07-08 16:16:52.170555+00
13915,Supreme Housing Finance Ltd,173,2026-07-08 16:16:52.170555+00
13916,Suryoday Small Finance Bank Ltd,174,2026-07-08 16:16:52.170555+00
13917,Svatantra Micro Housing Finance Corporation Ltd,175,2026-07-08 16:16:52.170555+00
13918,Swara Fincare Ltd,176,2026-07-08 16:16:52.170555+00
13919,Tata Capital Financial Services Ltd,177,2026-07-08 16:16:52.170555+00
13920,Tata Capital Housing Finance Ltd,178,2026-07-08 16:16:52.170555+00
13921,Tata Capital Ltd,179,2026-07-08 16:16:52.170555+00
13922,The Saraswat Co-Operative Bank Ltd,180,2026-07-08 16:16:52.170555+00
13923,Trustlenders Capital Pvt. Ltd,181,2026-07-08 16:16:52.170555+00
13924,U.Y Fincorp Ltd,182,2026-07-08 16:16:52.170555+00
13925,Ugro Capital Ltd,183,2026-07-08 16:16:52.170555+00
13926,Ujjivan Small Finance Bank Ltd,184,2026-07-08 16:16:52.170555+00
13927,Ummeed Housing Finance Pvt. Ltd,185,2026-07-08 16:16:52.170555+00
13928,Unity Small Finance Bank Ltd,186,2026-07-08 16:16:52.170555+00
13929,Up Money Ltd,187,2026-07-08 16:16:52.170555+00
13930,Utkarsh Small Finance Bank Ltd,188,2026-07-08 16:16:52.170555+00
13931,Valocity Global,189,2026-07-08 16:16:52.170555+00
13932,Vanik Finance Pvt Ltd,190,2026-07-08 16:16:52.170555+00
13933,Varthana Finance Pvt. Ltd,191,2026-07-08 16:16:52.170555+00
13934,Vastu Finserve India Pvt Ltd,192,2026-07-08 16:16:52.170555+00
13935,Vastu Housing Finance Corporation Ltd,193,2026-07-08 16:16:52.170555+00
13936,Vistaar Financial Services Pvt. Ltd,194,2026-07-08 16:16:52.170555+00
13937,Vridhi Finserv Home Finance Ltd,195,2026-07-08 16:16:52.170555+00
13938,Wonder Home Finance Ltd,196,2026-07-08 16:16:52.170555+00
13939,Wortgage Finance Pvt. Ltd,197,2026-07-08 16:16:52.170555+00
13940,Z-First Technologies Pvt. Ltd,198,2026-07-08 16:16:52.170555+00
13941,IITL Group,199,2026-07-08 16:16:52.170555+00
13942,TATA MID,200,2026-07-08 16:16:52.170555+00
13943,Ram Fincorp,201,2026-07-08 16:16:52.170555+00
13944,Arcil,202,2026-07-08 16:16:52.170555+00
13945,Subhgrow,203,2026-07-08 16:16:52.170555+00
13946,Grow Capital,204,2026-07-08 16:16:52.170555+00
13947,Vallabhi Capital Private Limited,205,2026-07-08 16:16:52.170555+00
13948,CREDIT SAISON,206,2026-07-08 16:16:52.170555+00
13949,CREDIN,207,2026-07-08 16:16:52.170555+00
13950,Axis (SBB),208,2026-07-08 16:16:52.170555+00
13951,TRUE HOME,209,2026-07-08 16:16:52.170555+00
13952,BNF BANK,210,2026-07-08 16:16:52.170555+00
13953,SARASWAT BANK,211,2026-07-08 16:16:52.170555+00
13954,EZ CAPITAL,212,2026-07-08 16:16:52.170555+00
13955,Kissht Housing,213,2026-07-08 16:16:52.170555+00
13956,NAP Motors,214,2026-07-08 16:16:52.170555+00
13957,Muthoot Homefin,215,2026-07-08 16:16:52.170555+00
13958,Sitara,216,2026-07-08 16:16:52.170555+00
13959,AXIS B2B,217,2026-07-08 16:16:52.170555+00
13960,AXIS B2C,218,2026-07-08 16:16:52.170555+00
13961,Shubh Grow,219,2026-07-08 16:16:52.170555+00
13962,Samriddhi Finman,220,2026-07-08 16:16:52.170555+00
13963,Mercedes Benz Bank,221,2026-07-08 16:16:52.170555+00
13964,Private valuation,222,2026-07-08 16:16:52.170555+00
13965,CREDLIX,223,2026-07-08 16:16:52.170555+00
13966,Navi,224,2026-07-08 16:16:52.170555+00
13967,ICPL Capital Pvt Ltd,225,2026-07-08 16:16:52.170555+00
13968,WeRize,226,2026-07-08 16:16:52.170555+00
13969,People Home Finance,227,2026-07-08 16:16:52.170555+00
13970,Aspire Financiers,228,2026-07-08 16:16:52.170555+00
13971,HDFC Bank,229,2026-07-08 16:16:52.170555+00
13972,DhanSafal,230,2026-07-08 16:16:52.170555+00
13973,Home Credit,231,2026-07-08 16:16:52.170555+00
13974,Finaleap,232,2026-07-08 16:16:52.170555+00
13975,Tyger Home Finance,233,2026-07-08 16:16:52.170555+00
13976,Eklingji Finance,234,2026-07-08 16:16:52.170555+00
13977,SMFG Grah Shakti,235,2026-07-08 16:16:52.170555+00
13978,SMFG Gram Shakti,236,2026-07-08 16:16:52.170555+00
